,customer,campaign,result
195,190,25,1
196,444,72,0
197,951,25,0
198,1951,93,0
199,19,34,0
200,445,71,0
201,1010,23,1
202,2200,10,0
203,1920,12,1
204,1970,46,1
205,965,58,0
206,2107,82,0
207,1887,77,0
208,965,13,0
209,934,60,1
210,2234,32,0
211,941,59,1
212,1843,12,0
213,899,93,0
214,2060,1,0
215,118,70,1
216,1825,26,0
217,1958,96,0
218,95,91,0
219,2124,91,0
220,343,90,0
221,1403,3,0
222,2012,31,0
223,1756,84,0
224,887,23,0
225,1983,18,0
226,1619,77,0
227,2066,76,1
228,109,86,1
229,88,39,0
230,101,22,0
231,389,47,0
232,1256,40,0
233,179,42,1
234,495,85,0
235,1067,41,0
236,565,57,0
237,1309,66,0
238,583,12,1
239,1211,95,1
240,750,28,0
241,1961,17,0
242,1002,56,1
243,72,5,0
244,1352,59,0
245,456,74,0
246,275,25,0
247,1575,11,0
248,1717,88,1
249,2084,47,1
250,427,61,0
251,1405,49,0
252,1059,62,1
253,1192,42,0
254,1310,12,0
255,47,9,0
256,435,40,0
257,574,31,0
258,1490,75,1
259,37,72,1
260,468,23,1
261,1420,0,0
262,1154,28,0
263,205,73,1
264,485,62,0
265,1184,94,0
266,1593,69,0
267,1918,18,0
268,1796,92,0
269,336,8,0
270,1286,32,0
271,1041,17,0
272,1309,91,0
273,2137,21,0
274,1998,46,1
275,2037,56,0
276,2212,76,0
277,260,63,0
278,33,15,1
279,1762,10,0
280,557,25,0
281,1297,92,0
282,702,26,0
283,373,84,0
284,2182,26,0
285,207,78,0
286,1232,62,0
287,1408,35,0
288,245,57,0
289,905,23,1
290,393,61,0
291,934,39,0
292,570,92,0
293,105,17,1
294,852,53,1
295,1756,34,0
296,196,47,0
297,1158,39,0
298,23,7,0
299,582,32,0
300,1217,78,0
301,1419,70,0
302,1794,15,0
303,1443,33,0
304,1367,93,1
305,1021,51,0
306,1191,62,0
307,259,51,0
308,1529,44,0
309,1379,84,1
310,1131,66,0
311,1587,37,0
312,1699,66,0
313,931,71,0
314,1375,62,0
315,1380,60,0
316,1260,14,0
317,11,24,0
318,1236,93,0
319,1977,86,0
320,821,11,1
321,1988,62,1
322,212,89,1
323,1810,53,1
324,1827,81,0
325,168,96,0
326,1809,93,0
327,1422,99,1
328,876,0,0
329,448,81,0
330,1604,25,0
331,639,59,1
332,656,39,0
333,34,11,0
334,1316,10,0
335,1879,10,0
336,1408,14,0
337,156,64,0
338,1157,3,1
339,84,53,0
340,475,13,0
341,1699,0,0
342,1200,72,0
343,1585,30,0
344,2122,0,0
345,278,89,0
346,1028,26,0
347,153,89,0
348,1470,10,0
349,1457,26,0
350,1694,47,0
351,431,82,0
352,1595,56,0
353,1477,70,0
354,953,47,0
355,1657,52,0
356,672,83,0
357,1728,58,0
358,403,28,1
359,595,35,0
360,459,38,1
361,531,52,0
362,230,42,0
363,1336,60,0
364,528,26,0
365,1894,58,0
366,1766,73,1
367,61,97,0
368,319,36,1
369,152,74,0
370,1845,89,0
371,1275,59,0
372,1997,39,0
373,1340,97,1
374,887,12,0
375,2159,12,0
376,1740,2,0
377,1976,7,0
378,273,11,1
379,374,51,1
380,1643,48,0
381,722,88,1
382,1420,9,1
383,1009,52,0
384,1928,97,0
385,100,82,1
386,1434,34,0
387,312,83,0
388,1639,2,1
389,1613,85,0
390,104,25,0
391,1426,57,0
392,369,49,1
393,2087,51,0
394,2168,80,1
395,333,40,1
396,19,83,1
397,1918,72,0
398,762,34,0
399,1131,40,1
400,1339,87,0
401,574,40,1
402,381,5,0
403,29,77,0
404,1243,47,0
405,102,42,0
406,480,41,0
407,520,56,0
408,1995,61,0
409,284,29,0
410,629,2,1
411,579,30,0
412,1030,3,1
413,1577,25,0
414,100,2,1
415,454,52,0
416,2026,79,0
417,362,7,0
418,615,93,0
419,2146,61,0
420,956,81,0
421,752,50,1
422,736,16,0
423,1683,61,0
424,1093,81,1
425,1472,1,0
426,1963,1,0
427,115,55,1
428,1384,39,0
429,1678,48,0
430,947,39,1
431,460,43,0
432,197,48,0
433,2145,60,1
434,676,8,0
435,240,11,0
436,810,40,0
437,828,82,0
438,448,11,1
439,1445,22,0
440,97,49,0
441,836,75,0
442,54,80,0
443,2181,22,0
444,2228,42,0
445,1739,78,1
446,1892,71,0
447,923,36,1
448,1897,74,1
449,1657,9,0
450,393,48,1
451,186,87,0
452,605,7,0
453,245,98,0
454,558,12,0
455,1212,45,0
456,1530,22,0
457,588,7,0
458,1715,37,1
459,154,1,1
460,320,46,0
461,69,2,1
462,86,82,0
463,1619,72,0
464,1586,49,1
465,848,29,0
466,1319,13,0
467,1573,20,0
468,1252,64,1
469,109,12,0
470,315,74,0
471,1959,17,0
472,1387,16,0
473,1465,58,0
474,1195,29,0
475,1016,12,1
476,706,83,0
477,346,30,0
478,769,81,0
479,1807,97,0
480,1826,92,0
481,1836,89,0
482,995,42,0
483,1460,38,0
484,1381,51,1
485,238,50,1
486,543,60,0
487,922,77,1
488,1926,91,0
489,1347,18,0
490,15,84,0
491,574,51,0
492,1524,31,1
493,663,92,0
494,1676,77,0
495,80,19,1
496,1707,49,0
497,1534,3,0
498,734,17,0
499,723,43,0
500,889,88,0
501,1060,27,0
502,2177,22,1
503,2106,8,0
504,2233,86,0
505,1924,47,1
506,1719,17,1
507,1024,82,0
508,737,62,0
509,1423,64,1
510,1538,39,1
511,2021,91,1
512,1431,97,0
513,887,62,1
514,947,40,0
515,987,65,0
516,1754,95,0
517,519,68,0
518,950,6,0
519,1240,51,0
520,1667,66,1
521,809,84,0
522,1316,11,0
523,1421,57,1
524,955,53,0
525,246,41,0
526,982,22,0
527,337,19,0
528,138,93,0
529,105,3,0
530,1036,37,1
531,1495,27,0
532,1825,27,0
533,1626,95,0
534,1962,28,1
535,1927,99,0
536,1827,14,1
537,439,73,0
538,1306,0,0
539,59,29,0
540,1495,97,0
541,382,84,0
542,413,81,1
543,1290,58,0
544,573,69,0
545,311,71,1
546,1181,84,0
547,176,3,0
548,1376,82,0
549,2043,26,0
550,1465,91,0
551,1208,1,1
552,1872,97,0
553,1123,99,1
554,1046,27,0
555,1375,23,0
556,81,11,1
557,1214,44,0
558,330,93,0
559,1406,9,0
560,2063,31,0
561,1732,89,1
562,850,32,0
563,1724,24,0
564,359,56,0
565,1030,21,0
566,1949,92,0
567,925,52,0
568,1438,43,1
569,313,48,0
570,1686,48,0
571,62,53,1
572,456,7,0
573,1755,31,0
574,1195,94,1
575,782,5,0
576,2073,13,1
577,2048,62,0
578,1963,53,0
579,2118,44,0
580,1047,15,0
581,1187,7,0
582,1455,70,0
583,1478,86,1
584,1712,81,1
585,1683,80,0
586,1258,9,0
587,2127,70,0
588,1133,91,0
589,287,61,1
590,871,56,0
591,1677,3,1
592,986,78,0
593,1169,77,1
594,2005,64,0
595,1348,88,1
596,1344,82,1
597,1478,36,1
598,1620,56,0
599,730,42,0
600,1760,96,1
601,2051,15,1
602,1900,37,0
603,1707,22,1
604,1539,87,0
605,1649,10,0
606,803,98,0
607,739,71,0
608,1718,2,1
609,328,47,1
610,1608,31,0
611,321,55,0
612,1911,88,0
613,1483,29,0
614,625,98,0
615,33,58,0
616,1035,90,0
617,815,75,1
618,2023,41,1
619,2035,49,0
620,1107,55,0
621,565,84,0
622,345,29,0
623,23,90,0
624,783,0,0
625,501,73,0
626,742,95,0
627,1885,74,1
628,29,92,0
629,506,34,0
630,302,84,0
631,329,76,0
632,1038,83,0
633,431,62,0
634,417,31,0
635,1017,40,0
636,1735,35,0
637,1490,0,0
638,1062,34,1
639,1194,13,1
640,230,45,1
641,946,42,0
642,1335,59,0
643,780,89,0
644,1471,52,0
645,1453,12,0
646,1579,32,0
647,701,51,0
648,316,71,0
649,590,1,0
650,1121,86,0
651,339,25,0
652,310,70,0
653,1944,31,0
654,1801,50,0
655,480,95,0
656,486,94,0
657,631,70,0
658,697,86,0
659,780,60,0
660,454,88,0
661,50,86,1
662,696,14,0
663,516,0,1
664,1918,75,0
665,1143,18,0
666,1876,0,0
667,261,24,0
668,1274,32,0
669,2121,76,0
670,1328,4,0
671,19,79,0
672,1761,47,0
673,733,26,0
674,835,33,0
675,1235,41,0
676,2219,7,0
677,1436,4,1
678,2117,26,0
679,1626,35,0
680,283,66,0
681,2165,8,1
682,738,94,0
683,257,23,0
684,487,24,0
685,961,66,1
686,2023,77,1
687,1326,78,0
688,278,3,0
689,1105,32,0
690,1556,76,0
691,892,34,0
692,1658,74,0
693,694,62,0
694,456,73,1
695,1369,19,1
696,1413,34,0
697,2081,57,0
698,544,74,1
699,5,19,0
700,2077,29,0
701,115,5,0
702,1682,61,0
703,895,50,1
704,2145,56,0
705,836,4,0
706,247,16,0
707,1328,64,1
708,1472,12,0
709,831,95,0
710,2032,43,0
711,1909,18,0
712,1381,68,0
713,1256,0,0
714,551,58,0
715,959,51,0
716,1604,37,0
717,743,48,0
718,1203,77,1
719,1826,30,0
720,1057,0,0
721,56,91,0
722,1125,71,0
723,57,86,1
724,1358,30,0
725,1243,20,0
726,1473,92,0
727,913,99,1
728,512,35,1
729,1991,4,0
730,59,18,0
731,1665,71,1
732,936,15,1
733,881,32,1
734,302,81,0
735,554,69,1
736,1555,48,1
737,1474,38,0
738,1531,69,0
739,1215,1,1
740,917,27,0
741,1323,19,0
742,925,41,0
743,1002,81,0
744,1192,61,0
745,1242,68,1
746,853,40,1
747,1928,67,0
748,1299,69,0
749,1547,75,0
750,666,59,0
751,1963,68,1
752,87,13,0
753,137,47,1
754,2204,56,0
755,2134,99,1
756,2176,24,1
757,232,40,0
758,1761,87,1
759,920,94,0
760,927,62,0
761,337,77,0
762,372,37,1
763,38,85,1
764,1935,59,0
765,2188,17,0
766,174,93,0
767,1260,89,1
768,567,7,0
769,1069,66,0
770,2015,44,1
771,1049,5,0
772,95,13,0
773,201,71,0
774,1237,32,0
775,597,21,1
776,1528,68,0
777,809,57,0
778,2123,43,0
779,258,80,0
780,1197,38,0
781,1625,57,0
782,1148,64,0
783,761,47,0
784,2081,22,0
785,1672,85,0
786,499,63,0
787,1553,79,1
788,2229,25,0
789,1980,45,0
790,2078,62,0
791,1922,70,0
792,825,44,1
793,682,2,1
794,1856,56,0
795,1244,78,0
796,834,98,0
797,2028,99,1
798,829,19,0
799,384,41,1
800,1489,63,0
801,754,52,1
802,967,49,0
803,2072,0,0
804,1840,57,0
805,1695,73,1
806,63,26,0
807,1384,42,1
808,2185,40,0
809,673,85,1
810,1473,57,0
811,348,59,0
812,1196,87,0
813,2084,56,0
814,839,26,0
815,1922,92,0
816,1573,21,0
817,2083,32,0
818,378,37,0
819,2086,35,0
820,127,5,1
821,63,22,0
822,935,22,0
823,294,35,0
824,416,28,1
825,1360,3,1
826,1202,69,1
827,2077,60,0
828,1389,49,0
829,994,65,0
830,657,75,0
831,753,72,0
832,167,71,0
833,1376,1,0
834,620,62,0
835,401,62,0
836,72,51,1
837,1807,27,0
838,1391,20,0
839,2062,27,0
840,1096,18,0
841,990,47,0
842,759,90,0
843,1724,93,0
844,1657,35,0
845,383,94,0
846,979,57,0
847,1422,40,0
848,538,89,0
849,1717,60,0
850,627,20,0
851,1210,89,0
852,962,62,0
853,623,48,0
854,1879,29,0
855,1276,0,0
856,1809,92,0
857,1882,40,0
858,218,42,0
859,1765,32,0
860,449,38,0
861,788,20,0
862,183,13,0
863,2151,40,0
864,1210,15,0
865,198,40,1
866,1294,69,0
867,1408,22,1
868,1517,47,0
869,2208,35,0
870,982,28,0
871,2119,2,0
872,1360,59,0
873,1173,46,0
874,2048,85,0
875,1487,23,1
876,1096,86,0
877,366,45,0
878,2231,45,0
879,1380,32,0
880,1239,83,1
881,1000,89,1
882,792,40,0
883,2118,18,0
884,2152,52,0
885,335,13,0
886,124,81,0
887,1618,5,0
888,1474,88,0
889,1348,11,0
890,213,94,1
891,603,16,0
892,1314,80,0
893,1986,80,0
894,292,81,0
895,966,45,0
896,1474,9,1
897,1231,64,1
898,1754,50,0
899,542,77,1
900,439,77,1
901,1616,72,0
902,1475,58,1
903,680,86,0
904,1874,24,0
905,828,26,0
906,940,95,0
907,743,43,0
908,668,16,0
909,1941,78,0
910,1768,11,0
911,972,82,0
912,940,20,0
913,642,47,0
914,2175,12,0
915,918,47,0
916,1092,23,0
917,1219,80,1
918,657,73,0
919,1867,71,0
920,2055,87,0
921,1387,38,1
922,934,72,0
923,2095,99,0
924,1980,7,0
925,2163,97,0
926,187,57,1
927,496,74,1
928,1008,44,0
929,1154,41,0
930,2200,4,0
931,777,84,0
932,345,19,0
933,188,75,0
934,44,6,0
935,1616,89,1
936,89,95,0
937,274,47,1
938,611,95,1
939,1145,46,0
940,494,0,0
941,1973,54,0
942,1361,11,0
943,1258,5,0
944,1900,76,0
945,1165,8,1
946,1302,96,0
947,1552,49,0
948,2183,25,1
949,1644,61,0
950,359,62,0
951,1776,61,0
952,624,33,1
953,510,32,0
954,1253,7,1
955,427,34,1
956,426,16,0
957,1972,96,0
958,1728,48,0
959,594,72,0
960,1676,56,0
961,734,19,0
962,1732,89,0
963,1108,42,0
964,1155,5,0
965,2083,33,1
966,1081,12,1
967,1774,2,0
968,1704,38,1
969,839,1,1
970,1121,59,0
971,1760,11,0
972,1447,56,0
973,1742,18,0
974,524,53,1
975,684,36,0
976,239,15,0
977,917,46,0
978,2140,89,0
979,1185,11,0
980,1012,76,1
981,1907,84,0
982,756,30,0
983,4,51,0
984,276,27,0
985,305,91,0
986,268,73,0
987,1167,18,0
988,611,62,0
989,1831,71,0
990,272,26,1
991,1420,52,0
992,726,57,0
993,2182,77,0
994,47,82,0
995,2134,93,1
996,1924,21,0
997,2031,79,0
998,1998,9,0
999,933,36,0
1000,401,28,1
1001,1861,32,0
1002,1617,28,1
1003,1242,66,0
1004,2220,89,0
1005,1863,1,0
1006,250,71,0
1007,548,0,0
1008,310,26,0
1009,749,45,0
1010,970,95,0
1011,190,50,0
1012,1936,93,0
1013,226,16,0
1014,360,90,0
1015,371,41,0
1016,1820,66,0
1017,1089,45,0
1018,223,66,0
1019,1059,18,0
1020,217,85,0
1021,1645,66,0
1022,1290,45,0
1023,386,40,0
1024,509,26,0
1025,689,47,0
1026,402,17,0
1027,608,13,1
1028,1221,38,0
1029,792,69,0
1030,1986,56,0
1031,1200,85,0
1032,1607,90,1
1033,1465,23,0
1034,831,40,0
1035,1482,86,0
1036,693,91,0
1037,105,83,0
1038,14,18,0
1039,1263,94,0
1040,1339,18,0
1041,1248,53,1
1042,1095,86,1
1043,129,53,0
1044,131,2,0
1045,1724,32,1
1046,1256,26,1
1047,1983,18,0
1048,957,87,0
1049,180,92,0
1050,519,8,1
1051,1679,56,0
1052,2045,13,0
1053,1892,83,1
1054,1045,91,1
1055,1237,14,0
1056,708,51,1
1057,575,21,1
1058,332,84,0
1059,2026,54,1
1060,424,20,0
1061,2219,66,0
1062,1143,78,0
1063,1331,25,1
1064,877,70,0
1065,1211,7,0
1066,316,91,0
1067,514,38,0
1068,1741,75,0
1069,2049,92,1
1070,1639,98,0
1071,2079,10,0
1072,396,3,0
1073,93,9,0
1074,192,18,0
1075,2040,0,0
1076,1375,88,0
1077,782,83,0
1078,1616,62,0
1079,935,92,0
1080,233,20,0
1081,1642,63,1
1082,1107,51,0
1083,1522,97,1
1084,88,62,1
1085,1910,44,1
1086,1450,59,0
1087,1575,92,1
1088,194,42,0
1089,799,74,0
1090,527,46,0
1091,816,63,0
1092,1733,73,0
1093,670,7,0
1094,1277,41,0
1095,1794,77,0
1096,703,85,0
1097,1947,46,0
1098,549,40,0
1099,609,38,1
1100,1623,73,1
1101,11,11,1
1102,1063,21,0
1103,1432,27,0
1104,1270,43,0
1105,100,58,1
1106,61,69,0
1107,318,84,0
1108,1864,94,0
1109,1950,46,0
1110,688,39,0
1111,1098,91,0
1112,223,79,0
1113,488,41,0
1114,1390,99,0
1115,1161,88,0
1116,1513,71,0
1117,716,48,0
1118,184,89,0
1119,1077,11,1
1120,1951,5,0
1121,1099,74,0
1122,642,84,0
1123,1052,6,1
1124,1468,96,0
1125,1934,94,0
1126,1482,7,0
1127,453,91,1
1128,1075,21,0
1129,1013,44,0
1130,157,68,0
1131,564,80,0
1132,1893,94,1
1133,479,79,0
1134,2019,47,0
1135,873,60,0
1136,1825,41,0
1137,1823,8,0
1138,1935,41,0
1139,1570,88,0
1140,1862,46,1
1141,1520,14,0
1142,557,90,0
1143,2189,97,0
1144,384,11,0
1145,944,48,0
1146,1994,60,0
1147,391,12,0
1148,478,73,0
1149,464,30,0
1150,1321,76,0
1151,406,99,1
1152,842,4,0
1153,1003,82,0
1154,2125,58,0
1155,2097,25,0
1156,70,63,0
1157,1210,29,0
1158,1604,63,0
1159,214,87,0
1160,1049,81,0
1161,965,28,1
1162,1671,7,0
1163,1447,48,0
1164,1067,35,0
1165,1749,58,0
1166,241,86,0
1167,412,72,0
1168,1166,57,1
1169,1113,22,0
1170,1190,99,0
1171,1599,98,0
1172,352,10,0
1173,1027,34,0
1174,947,23,0
1175,643,33,0
1176,1092,98,0
1177,1773,79,0
1178,1186,96,1
1179,499,94,0
1180,2186,35,1
1181,102,6,0
1182,1368,99,1
1183,728,70,0
1184,386,22,0
1185,742,16,0
1186,1252,48,1
1187,1479,92,0
1188,977,39,1
1189,1096,87,0
1190,253,26,0
1191,547,44,0
1192,127,42,0
1193,1727,48,0
1194,1547,93,0
1195,678,39,0
1196,1404,63,0
1197,105,94,0
1198,1690,7,0
1199,807,61,0
1200,573,7,0
1201,1682,17,0
1202,1520,36,1
1203,1276,69,0
1204,1779,70,0
1205,1832,82,0
1206,1373,5,0
1207,1538,52,0
1208,1057,39,0
1209,703,75,0
1210,1347,23,0
1211,1690,51,1
1212,2025,4,0
1213,873,60,0
1214,742,13,0
1215,1613,9,0
1216,1700,70,0
1217,259,72,0
1218,291,27,1
1219,602,30,0
1220,1482,88,0
1221,551,88,0
1222,565,96,0
1223,721,8,0
1224,117,37,0
1225,1307,29,1
1226,1192,41,0
1227,252,50,0
1228,2130,22,1
1229,265,51,0
1230,1699,28,0
1231,434,31,0
1232,1110,19,1
1233,1310,71,0
1234,771,2,1
1235,2146,99,0
1236,1055,42,0
1237,987,14,0
1238,1443,24,0
1239,1470,80,1
1240,103,26,0
1241,1760,55,1
1242,942,88,0
1243,253,31,0
1244,698,70,0
1245,0,39,0
1246,1192,79,0
1247,1624,60,0
1248,1364,54,1
1249,2109,82,0
1250,1276,98,0
1251,1080,78,0
1252,1850,58,0
1253,401,40,0
1254,1944,69,0
1255,1244,26,0
1256,2053,55,0
1257,1480,33,0
1258,1043,24,0
1259,1197,88,0
1260,1762,93,1
1261,1922,29,1
1262,411,16,0
1263,1355,68,0
1264,1329,66,1
1265,1335,12,0
1266,154,8,0
1267,134,54,0
1268,211,21,1
1269,73,57,0
1270,1238,28,1
1271,662,28,0
1272,1254,52,0
1273,1609,18,0
1274,160,36,0
1275,629,13,0
1276,1485,72,0
1277,1293,43,1
1278,1124,25,0
1279,1341,95,1
1280,282,85,0
1281,251,92,0
1282,187,55,0
1283,76,72,0
1284,1320,81,0
1285,644,36,0
1286,470,51,0
1287,41,93,0
1288,404,95,1
1289,2041,15,0
1290,1978,65,1
1291,1911,69,0
1292,261,64,1
1293,1435,0,0
1294,525,83,0
1295,1849,26,0
1296,1755,59,1
1297,971,17,0
1298,1729,31,0
1299,1186,13,0
1300,1182,68,1
1301,1326,93,0
1302,362,24,0
1303,747,55,0
1304,966,10,0
1305,185,88,0
1306,1863,35,0
1307,923,1,1
1308,2150,60,0
1309,1878,90,0
1310,1760,32,0
1311,2041,34,1
1312,636,61,0
1313,2074,50,0
1314,1808,97,0
1315,1044,73,1
1316,821,5,0
1317,1768,46,0
1318,1262,93,0
1319,440,23,1
1320,1582,30,0
1321,1274,85,0
1322,1643,57,1
1323,1848,35,1
1324,1770,53,1
1325,1634,31,0
1326,323,38,0
1327,1385,77,0
1328,31,47,0
1329,731,27,0
1330,1480,41,0
1331,1122,36,0
1332,1588,2,0
1333,774,67,0
1334,1546,52,0
1335,1345,51,0
1336,511,44,0
1337,978,95,0
1338,123,27,1
1339,1218,26,0
1340,740,37,0
1341,1562,83,0
1342,1614,73,0
1343,475,6,0
1344,654,48,0
1345,977,27,0
1346,103,47,1
1347,174,75,0
1348,934,55,0
1349,1306,16,0
1350,1069,38,0
1351,246,60,0
1352,472,49,1
1353,2210,69,0
1354,1916,98,1
1355,676,94,0
1356,1720,89,0
1357,980,44,1
1358,501,25,0
1359,2062,41,1
1360,1701,29,1
1361,918,57,0
1362,354,93,0
1363,2040,28,0
1364,991,46,0
1365,632,77,0
1366,2170,42,0
1367,2173,40,0
1368,1988,10,0
1369,683,12,0
1370,1306,78,0
1371,723,3,0
1372,1955,93,0
1373,2183,36,0
1374,961,57,0
1375,1060,61,0
1376,1557,47,0
1377,1857,10,0
1378,585,15,0
1379,156,51,0
1380,1271,52,0
1381,1663,48,0
1382,363,63,0
1383,1881,1,0
1384,134,12,0
1385,1590,37,0
1386,1866,55,0
1387,595,0,1
1388,1971,20,0
1389,2127,0,0
1390,1343,61,1
1391,1803,96,0
1392,1554,86,0
1393,549,40,0
1394,636,81,1
1395,1392,2,0
1396,271,17,0
1397,155,80,0
1398,707,35,0
1399,73,4,1
1400,1775,79,0
1401,335,74,1
1402,1614,62,0
1403,1533,11,0
1404,1666,31,1
1405,908,10,0
1406,1486,98,1
1407,1603,31,0
1408,1752,49,0
1409,1939,4,0
1410,899,9,0
1411,1527,81,0
1412,2095,2,0
1413,1939,67,1
1414,213,40,0
1415,1763,69,0
1416,642,33,0
1417,1949,10,0
1418,1298,7,1
1419,1581,11,0
1420,2214,37,0
1421,2114,44,0
1422,1999,67,0
1423,1451,85,0
1424,416,13,0
1425,1047,42,1
1426,892,58,0
1427,2059,17,1
1428,2107,45,1
1429,406,72,0
1430,1035,14,0
1431,1061,12,0
1432,2032,18,0
1433,1160,41,0
1434,1588,17,0
1435,1844,40,0
1436,277,63,0
1437,89,80,0
1438,1614,39,1
1439,806,61,0
1440,1080,4,0
1441,724,15,0
1442,813,64,0
1443,1709,7,0
1444,1160,57,0
1445,785,11,1
1446,470,75,0
1447,57,54,0
1448,119,49,0
1449,34,8,0
1450,503,69,0
1451,328,51,0
1452,663,93,1
1453,85,60,0
1454,1425,39,0
1455,26,36,0
1456,1898,38,0
1457,24,80,0
1458,2112,96,1
1459,1608,18,1
1460,714,7,1
1461,399,19,0
1462,1839,42,0
1463,1650,60,0
1464,1540,1,0
1465,1002,16,0
1466,477,82,0
1467,2130,50,1
1468,1433,38,0
1469,1080,21,0
1470,316,34,0
1471,164,80,0
1472,1941,58,1
1473,824,10,0
1474,2132,41,0
1475,1346,82,1
1476,1863,57,1
1477,875,38,1
1478,1345,47,0
1479,925,38,0
1480,1422,87,0
1481,696,8,1
1482,784,52,0
1483,1885,83,0
1484,1840,81,1
1485,1983,0,1
1486,2138,51,0
1487,1894,44,0
1488,753,15,0
1489,2144,13,0
1490,2076,23,0
1491,436,66,0
1492,389,14,0
1493,2058,2,0
1494,1473,55,0
1495,2087,83,0
1496,2071,56,1
1497,989,61,0
1498,791,32,0
1499,766,48,0
1500,1547,62,1
1501,2058,54,0
1502,605,5,1
1503,1693,25,0
1504,866,88,1
1505,396,81,0
1506,313,38,1
1507,806,14,0
1508,182,38,0
1509,956,1,0
1510,1971,27,1
1511,246,55,0
1512,358,25,0
1513,1218,98,1
1514,1668,96,0
1515,1070,44,0
1516,1383,70,0
1517,1576,61,0
1518,2237,25,0
1519,895,75,1
1520,1,35,1
1521,1130,25,0
1522,1137,5,0
1523,1484,69,1
1524,2005,34,1
1525,669,51,0
1526,2038,5,0
1527,443,79,0
1528,1652,95,0
1529,1567,69,1
1530,1104,79,0
1531,1325,87,0
1532,352,99,1
1533,952,17,0
1534,1859,2,1
1535,134,20,0
1536,635,64,0
1537,1783,46,0
1538,1295,58,0
1539,538,14,0
1540,473,90,0
1541,2129,60,1
1542,1497,19,0
1543,940,21,0
1544,339,95,0
1545,555,52,1
1546,354,76,0
1547,723,40,0
1548,830,48,0
1549,1112,11,0
1550,1441,26,0
1551,1256,10,0
1552,521,70,0
1553,1669,56,0
1554,1126,63,0
1555,913,48,1
1556,340,40,0
1557,302,73,0
1558,1594,8,0
1559,417,77,0
1560,1523,97,1
1561,1830,65,1
1562,1955,7,0
1563,928,25,0
1564,1373,65,0
1565,2019,7,1
1566,1947,17,1
